names	logFC	AveExpr	t	P.Value	adj.P.Val	B
RGP1	-0.0893935603864948	6.26547582417582	-1.25477679041189	0.212762930818541	0.301672662639575	-6.69264891514089
LOC284798	0.058434536231867	4.32407967032967	1.25474577699506	0.212774141178907	0.301672662639575	-6.69268746590348
BTF3P12 /// BTF3P12	0.0568469178743767	4.53304758241758	1.25447437443536	0.21287226304107	0.301793588108858	-6.69302478951225
LOC102546226	0.0360502463767998	3.27742186813187	1.25441165439403	0.212894943332755	0.301793651659757	-6.69310273361597
MXD1	-0.240200502415484	7.33034307692308	-1.25440328318552	0.212897970592631	0.301793651659757	-6.69311313648674
DEFB123	-0.0487152753623303	3.90030736263736	-1.25426115496565	0.212949372898569	0.301848324629322	-6.69328974848031
PRKG1	-0.069741917874409	3.89901406593407	-1.25360136687666	0.213188112135083	0.302168518586065	-6.69410936408301
LOC101927164	-0.0595870048309282	4.06727131868132	-1.25352755768985	0.213214831629474	0.302176169700852	-6.69420102694746
LINC01270	0.0671415120772836	3.62150010989011	1.25351547619618	0.213219205457285	0.302176169700852	-6.69421603033272
LAYN	0.0621918550724496	3.47051230769231	1.25323827467673	0.213319577996721	0.302300203318845	-6.6945602342616
GPN3	0.0893265507246053	8.51486274725275	1.25295316275135	0.213422850992248	0.302428332048299	-6.69491418390131
ATF7IP2	0.104965026570026	5.42318302197802	1.25273704006877	0.213501159199014	0.30252107141158	-6.69518243562486
MYLK	-0.0560858647343117	3.88577868131868	-1.2525240216659	0.213578363247781	0.302612235155892	-6.69544679056561
PAX3	0.0431405869565116	3.74595032967033	1.25171644602104	0.213871238059725	0.303008946398694	-6.69644859409625
AK024936	0.0364924782608602	3.17283274725275	1.25160433593509	0.21391191909277	0.30304832773533	-6.69658761813762
LRCH4 /// SAP25	-0.127059748792295	6.15582543956044	-1.25132103641124	0.214014744381755	0.303175738592957	-6.69693887497459
IDO1	-0.336725758454136	7.69363186813187	-1.25102729899686	0.214121396429672	0.303308554807629	-6.69730299239847
AC079741.2	0.040441207729458	3.18654725274725	1.25057447205359	0.214285888043424	0.303523281347867	-6.69786415568024
PROX2	0.0385028454106151	3.42950208791209	1.25035927198619	0.214364092988999	0.30361576942679	-6.6981307723632
TMEM179	0.0609243768115819	4.0677056043956	1.24973640543275	0.21459056418635	0.303918231448363	-6.69890220727272
RPL13 /// SNORD68	-0.0640827294686375	12.6115120879121	-1.24964588177968	0.214623492726616	0.303946564844051	-6.69901429203926
TCL6	0.0344523913043338	3.65339049450549	1.24957628423798	0.214648811781748	0.303964119038275	-6.69910046113495
AC092192.1	-0.0386258647343078	3.22981461538462	-1.24930501957957	0.214747516687513	0.304085586543667	-6.69943627112601
ADCY8	-0.0710408840579833	3.82888989010989	-1.24910256947099	0.214821203754885	0.304154783082543	-6.69968684676783
TRMT1	0.11761609178742	6.31412406593407	1.24909970276024	0.214822247303027	0.304154783082543	-6.69969039465847
ZNF528	0.0915288599033701	4.94072978021978	1.24882310389779	0.214922953070877	0.304279049914347	-6.70003268117484
TRPM2-AS	-0.0467241690821387	4.73602296703297	-1.24858876484126	0.21500829969627	0.304381558255463	-6.70032261456327
ZHX1	-0.107350946859926	7.00222324175824	-1.24815324647404	0.215166982063176	0.304582072162421	-6.70086131515365
PRKAA1	-0.141372797101464	5.23816549450549	-1.24812894732181	0.215175838054881	0.304582072162421	-6.70089136586809
LOC101927768 /// LOC101927794	-0.0557537342995298	3.72892857142857	-1.24786453322862	0.2152722228336	0.304700167361514	-6.70121832971734
ALDH1L1-AS2	0.0626339951690671	4.31173736263736	1.24773213395717	0.215320497172208	0.30475015606513	-6.70138202418723
PPP1R2P9	-0.0548680724637833	4.22905582417582	-1.24768901194038	0.215336221680459	0.304751370338355	-6.70143533532588
ZNF208 /// ZNF595 /// ZNF718	-0.0479736521739231	3.47743758241758	-1.24765871681552	0.215347269346236	0.304751370338355	-6.70147278769486
HEPACAM2	0.0866499710144817	3.21138241758242	1.2476143897525	0.2153634347603	0.304755910328034	-6.70152758547342
SPRN	0.0756774396135143	4.79387230769231	1.24738778006009	0.215446089795737	0.30485453206568	-6.70180769437157
SNAPC3	0.0653101352656815	5.09824269230769	1.24723763307644	0.215500868138351	0.304897976465533	-6.70199326176005
L3MBTL3	0.120033700483072	5.10650615384615	1.24723255921647	0.215502719420197	0.304897976465533	-6.70199953219125
PTPN23	0.053995014492731	5.79299351648352	1.24618771028946	0.215884198013201	0.305419328557623	-6.7032902631878
MUTYH	0.103797961352633	7.53620307692308	1.24594196793045	0.215973991306226	0.305527984814293	-6.70359368371816
KIR3DS1	-0.0863734347826215	3.7395767032967	-1.24490024110951	0.216354937759862	0.306045349008849	-6.70487927195853
ZNF287	-0.0520603188405904	3.84504846153846	-1.24483637103723	0.216378310231646	0.306045349008849	-6.70495805978213
MBD3L2	0.0587173719806624	3.9828421978022	1.24483517993949	0.216378746116843	0.306045349008849	-6.70495952904035
AC008746.12	-0.0412325314009809	3.84306362637363	-1.24472976961039	0.216417323834775	0.306081506710397	-6.70508955076537
PLEKHF1	-0.14250108212563	7.03695626373626	-1.24468156377649	0.216434967720636	0.306088054884815	-6.70514900823918
DPYD	-0.0573156956521865	4.20715923076923	-1.24461419577261	0.21645962694268	0.306104522949244	-6.70523209676325
TEDDM1	-0.0369517874396252	3.4169732967033	-1.24452989139129	0.216490488411117	0.306129759359676	-6.70533606769463
C11orf70	-0.205769690821266	4.67367532967033	-1.24408012281676	0.216655190466369	0.306344239495552	-6.70589064337799
RP3-337H4.8	-0.0500918502415559	3.61605395604396	-1.24345901751589	0.216882785471631	0.306647617330493	-6.70665616291964
RP11-504A18.1	0.0366183381642391	3.20183681318681	1.24339721560386	0.216905441445129	0.306661215604078	-6.70673231428592
SP5	0.182530874396124	4.60348813186813	1.24299048667631	0.217054587452101	0.306853633279642	-6.7072333881534
UBXN2A	0.0844908478260624	8.02338565934066	1.24272059012194	0.217153598913379	0.306953196350198	-6.70756580251456
RP11-456P18.2	-0.0339767826087076	3.15820692307692	-1.2427049585415	0.217159334365011	0.306953196350198	-6.7075850527969
ZSCAN22	-0.0644049516908343	4.61247142857143	-1.24269179014414	0.21716416612531	0.306953196350198	-6.70760126948908
LOC101927809	0.103031207729456	3.79326615384615	1.2423756483224	0.217280188766514	0.30709873443834	-6.70799054373736
SYT9	0.0420316280193114	3.74154186813187	1.2423314143911	0.217296426035745	0.307103229200861	-6.70804500257649
RP11-473I1.9	-0.102801966183592	5.54276461538462	-1.24224002379038	0.217329976254601	0.307132190200578	-6.70815751266259
HSPA12A	-0.0658800724637842	4.28107631868132	-1.2421466373002	0.217364263092212	0.307162188652297	-6.708272471604
DYRK4	-0.106901140096645	7.54834450549451	-1.24206897634407	0.217392779313559	0.307184029405522	-6.70836806602153
XAGE3	-0.0717607053140252	4.0994278021978	-1.24193820323669	0.217440803893553	0.307233431910151	-6.70852902418807
SOX8	0.140451971014482	4.12580703296703	1.24164272391966	0.217549343063765	0.307368327558103	-6.70889264573758
IGSF11-AS1	-0.0344617729468699	3.17284131868132	-1.24143366283383	0.217626161923091	0.30745234004163	-6.70914986911284
CD163L1	0.12949294202897	5.79323263736264	1.24140975138005	0.217634949377257	0.30745234004163	-6.70917928648134
MAGED2	0.121925719806733	8.39676967032967	1.24137148685178	0.217649012122781	0.307453739647316	-6.70922636076168
C9orf142	0.0801534347825807	7.02816912087912	1.24121001343536	0.217708363160263	0.307519110055215	-6.70942499521682
AUTS2	-0.0800454154589527	4.52064659340659	-1.24117331477748	0.217721853738505	0.307519697329427	-6.70947013611715
FAM47B	0.0381317246376729	3.21243604395604	1.24076367438832	0.217872480709212	0.30771397023243	-6.70997392352771
ZNF816 /// ZNF816-ZNF321P	0.047526009661822	3.49450769230769	1.24032912129859	0.218032351432925	0.307921274510772	-6.71050817355738
C2CD3	0.0534359299516725	5.38911379120879	1.23972766200135	0.218253767814359	0.3082154679672	-6.71124732359457
FRG1B	-0.0505831352657147	4.02463972527473	-1.23940640526849	0.218372099953917	0.308364060453658	-6.71164198290933
C3orf22	0.045990077294674	3.89258417582418	1.2389717689047	0.218532269075969	0.30857170971164	-6.71217577008747
LOC101929019	0.0453945942028842	3.71135538461538	1.23883841055659	0.218581430548506	0.308622598541293	-6.71233951433309
SYNGAP1	0.0466260628019199	4.49996532967033	1.23872292431412	0.218624010139262	0.308664188635298	-6.71248130051883
LOC100128554	0.0343947149758352	3.42949945054945	1.23833794691492	0.218765994432062	0.308826065191504	-6.71295385738364
CCBL1	0.0523326811594069	4.05225054945055	1.23830961115549	0.218776447660307	0.308826065191504	-6.71298863370425
CYCSP33 /// CYCSP33	0.0567496763284829	5.04127153846154	1.23830524905519	0.218778056897144	0.308826065191504	-6.71299398721746
MID2	0.135687391304326	6.25574423076923	1.23824759844063	0.218799325787795	0.308837552813355	-6.71306473888133
FAM78B	0.0409914734299388	3.68173818681319	1.23791655225205	0.218921487018104	0.308991441110526	-6.71347095336037
STPG1	0.0804775676328351	5.05273285714286	1.23782894053741	0.218953825444567	0.309018540321405	-6.71357844086619
MOB3A	-0.0842743212560642	7.17439357142857	-1.23737427820122	0.219121702211777	0.309236915637885	-6.71413613079147
LOC101928852 /// ZNF720	-0.0551690458937344	4.95810346153846	-1.2372996584716	0.21914926332138	0.309257255254026	-6.71422764060888
SLC7A9	0.104213545893706	4.18381626373626	1.23703651108931	0.219246478104014	0.309375879829998	-6.71455030850161
CLIP2	0.1503306521739	6.13597131868132	1.23697960941079	0.219267503482179	0.309378406572194	-6.71462007187239
BHLHE41	-0.111267270531416	4.36308945054945	-1.23696046856119	0.219274576426806	0.309378406572194	-6.71464353850003
